Price,Period,Description,Location
"₦ 2,500,000",per annum,"Furnished 1bdrm Apartment in Royal Pine Gate 3,, Lekki Phase 2 for rent","Lekki, Lekki Phase 2"
"₦ 35,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 324,000,000",per annum,5bdrm Duplex in Banana Island Ikoyi for rent,"Ikoyi, Banana Island"
"₦ 12,000,000",per annum,5bdrm Duplex in Ologolo Lekki Lagos for rent,"Lekki, Ologolo"
"₦ 15,000,000",per annum,4bdrm Townhouse / Terrace in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 8,500,000",per annum,5bdrm Duplex in Lekki for rent,Lekki
"₦ 25,000,000",per annum,3bdrm Apartment in Banana Island for rent,"Ikoyi, Banana Island"
"₦ 9,000,000",per annum,4bdrm Duplex in Ikota for rent,"Lekki, Ikota"
"₦ 40,000,000",per annum,"5bdrm Duplex in Ogbunike Street, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 13,000,000",per annum,4bdrm Duplex in Jakande Lagos for rent,"Lekki, Jakande"
"₦ 16,000,000",per annum,4bdrm Townhouse / Terrace in Ikate for rent,"Lekki, Ikate"
"₦ 14,000,000",per annum,3bdrm Apartment in Lekki Phase 1 Lagos for rent,"Lekki, Lekki Phase 1"
"₦ 100,000,000",,"16bdrm Block of Flats in Nobex, Alimosho for sale",Alimosho
"₦ 26,000,000",per annum,Furnished 3bdrm Apartment in Old Ikoyi for rent,"Ikoyi, Old Ikoyi"
"₦ 18,000,000",per annum,"Furnished 4bdrm Duplex in Gbangbala Street, Ikate for rent","Lekki, Ikate"
"₦ 2,500,000",per annum,1bdrm Shared Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 7,000,000",per annum,4bdrm Duplex in Orchid Lekki Lagos for rent,Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Oral Estate., Lekki for rent",Lekki
"₦ 25,000,000",per annum,Furnished 4bdrm Duplex in Ikate Lekki Lagos for rent,"Lekki, Ikate"
"₦ 20,000,000",per annum,4bdrm Duplex in Osborne Foreshore Estate for rent,"Ikoyi, Osborne Foreshore Estate"
"₦ 35,000,000",per annum,6bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
